timestamp,symbol,price,volume,bid,ask,high_24h,low_24h,change_24h
2025-10-08 22:53:03.408367,KRW-BTC,49979845.85908317,883.7270233013122,49929866.01322409,50029825.70494225,50979442.77626483,48980248.941901505,0.04954045149331818
2025-10-08 22:53:03.408367,KRW-ETH,49991328.38354278,601.0621558324616,49941337.05515924,50041319.71192632,50991154.95121364,48991501.815871924,0.006881173941792704
2025-10-08 22:53:03.408367,KRW-XRP,49971270.48338312,800.4839791122563,49921299.21289974,50021241.75386649,50970695.89305078,48971845.073715456,-0.02628444422209313
2025-10-08 22:53:04.415900,KRW-BTC,50055658.29795388,934.0047146113744,50005602.639655925,50105713.95625183,51056771.46391296,49054545.131994806,0.027678074156585172
2025-10-08 22:53:04.415900,KRW-ETH,50017425.41152955,228.32618793147316,49967407.98611802,50067442.83694107,51017773.91976014,49017076.90329896,-0.03895657034358563
2025-10-08 22:53:04.415900,KRW-XRP,50029247.98451683,519.9121241937253,49979218.736532316,50079277.23250134,51029832.94420717,49028663.02482649,-0.0006874416932269867
2025-10-08 22:53:05.470542,KRW-BTC,50040657.2402096,995.9228547667562,49990616.58296939,50090697.89744981,51041470.3850138,49039844.09540541,0.013434277763936534
2025-10-08 22:53:05.470542,KRW-ETH,49936609.76360893,958.0531408287542,49886673.153845325,49986546.37337253,50935341.95888111,48937877.568336755,0.04369901459498869
2025-10-08 22:53:05.470542,KRW-XRP,50003523.98992485,962.5517183113318,49953520.465934925,50053527.513914764,51003594.469723344,49003453.51012635,-0.027960006406951756
2025-10-08 22:53:06.472088,KRW-BTC,50028698.94868337,363.3356132896244,49978670.24973469,50078727.647632055,51029272.927657045,49028124.9697097,0.0034729065506945295
2025-10-08 22:53:06.472088,KRW-ETH,49846981.60203144,295.1829943891584,49797134.62042941,49896828.58363347,50843921.23407207,48850041.96999081,-0.04129383969913197
2025-10-08 22:53:06.472088,KRW-XRP,50025572.81618461,847.6047947431726,49975547.243368424,50075598.38900079,51026084.2725083,49025061.35986092,0.023927185000639492
2025-10-08 22:53:07.478873,KRW-BTC,50059897.27838292,331.2620884803955,50009837.38110454,50109957.175661296,51061095.22395058,49058699.33281526,-0.005701206363341385
